product_id,product_label,category,sub_category,brand,name_variants,ambiguous_name,lifetime_order_lines,lifetime_units,lifetime_revenue,lifetime_profit,lifetime_margin_pct,revenue_tier,profit_quadrant,is_ambiguous_name
FUR-ADV-10000002,"Advantus Photo Frame, Duo Pack",Furniture,Furnishings,Advantus,1,0,2,3,159.12,60.39,37.952488687782804,Low revenue,3 Low revenue / High margin,0
FUR-ADV-10000108,"Advantus Clock, Erganomic",Furniture,Furnishings,Advantus,1,0,3,7,350.07000000000005,3.36,0.9598080383923213,Low revenue,3 Low revenue / High margin,0
FUR-ADV-10000183,"Advantus Photo Frame, Black",Furniture,Furnishings,Advantus,1,0,8,31,974.832,-651.7379999999999,-66.85644295632478,High revenue,2 High revenue / LOW profit,0
FUR-ADV-10000188,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings,Advantus,1,0,5,7,124.95000000000002,4.200000000000005,3.361344537815129,Low revenue,3 Low revenue / High margin,0
FUR-ADV-10000190,"Advantus Frame, Duo Pack",Furniture,Furnishings,Advantus,1,0,1,2,222.36,104.46,46.977873718294646,Low revenue,3 Low revenue / High margin,0
FUR-ADV-10000571,"Advantus Frame, Erganomic",Furniture,Furnishings,Advantus,1,0,8,20,2194.8,701.9999999999999,31.984691088026235,High revenue,1 High revenue / High profit,0
FUR-ADV-10000600,"Advantus Clock, Duo Pack",Furniture,Furnishings,Advantus,1,0,2,4,205.8,24.6,11.9533527696793,Low revenue,3 Low revenue / High margin,0
FUR-ADV-10000847,"Advantus Stacking Tray, Black",Furniture,Furnishings,Advantus,1,0,5,11,290.73,81.18,27.922814982973893,Low revenue,3 Low revenue / High margin,0
FUR-ADV-10001283,"Advantus Frame, Black",Furniture,Furnishings,Advantus,1,0,2,3,177.79200000000003,-88.96799999999998,-50.04049676025916,Low revenue,4 Low revenue / Low profit,0
FUR-ADV-10001440,"Advantus Door Stop, Black",Furniture,Furnishings,Advantus,1,0,7,22,959.139,176.379,18.389305408288056,High revenue,1 High revenue / High profit,0
FUR-ADV-10001659,"Advantus Light Bulb, Durable",Furniture,Furnishings,Advantus,1,0,6,10,147.05999999999997,16.860000000000007,11.464708282333747,Low revenue,3 Low revenue / High margin,0
FUR-ADV-10001855,"Advantus Stacking Tray, Durable",Furniture,Furnishings,Advantus,1,0,4,4,89.65800000000002,12.618,14.07347922103995,Low revenue,3 Low revenue / High margin,0
FUR-ADV-10002329,"Advantus Light Bulb, Erganomic",Furniture,Furnishings,Advantus,1,0,1,1,7.475999999999999,-9.534,-127.52808988764048,Low revenue,4 Low revenue / Low profit,0
FUR-ADV-10002601,"Advantus Photo Frame, Erganomic",Furniture,Furnishings,Advantus,1,0,5,11,495.36,200.01,40.3766957364341,High revenue,1 High revenue / High profit,0
FUR-ADV-10002632,"Advantus Door Stop, Duo Pack",Furniture,Furnishings,Advantus,1,0,1,2,36.072,-48.708,-135.02994011976045,Low revenue,4 Low revenue / Low profit,0
FUR-ADV-10002889,"Advantus Clock, Durable",Furniture,Furnishings,Advantus,1,0,7,19,803.772,-61.48800000000001,-7.6499305773279,High revenue,2 High revenue / LOW profit,0
FUR-ADV-10003147,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings,Advantus,1,0,5,8,187.2,57.84,30.897435897435898,Low revenue,3 Low revenue / High margin,0
FUR-ADV-10003326,"Advantus Light Bulb, Black",Furniture,Furnishings,Advantus,1,0,4,4,54.189,11.589,21.38625920389747,Low revenue,3 Low revenue / High margin,0
FUR-ADV-10004159,"Advantus Frame, Durable",Furniture,Furnishings,Advantus,1,0,3,5,194.67,-286.68,-147.2646016335337,Low revenue,4 Low revenue / Low profit,0
FUR-ADV-10004223,"Advantus Clock, Black",Furniture,Furnishings,Advantus,1,0,2,2,66.80700000000002,-6.213000000000008,-9.299923660694247,Low revenue,4 Low revenue / Low profit,0
FUR-ADV-10004395,"Advantus Door Stop, Durable",Furniture,Furnishings,Advantus,1,0,10,29,614.076,4.206,0.6849315068493151,High revenue,1 High revenue / High profit,0
FUR-ADV-10004499,"Advantus Photo Frame, Durable",Furniture,Furnishings,Advantus,1,0,3,5,250.04999999999995,39.900000000000006,15.956808638272351,Low revenue,3 Low revenue / High margin,0
FUR-ADV-10004718,"Advantus Light Bulb, Duo Pack",Furniture,Furnishings,Advantus,1,0,5,9,124.806,-20.18399999999999,-16.172299408682267,Low revenue,4 Low revenue / Low profit,0
FUR-ADV-10004971,"Advantus Door Stop, Erganomic",Furniture,Furnishings,Advantus,1,0,2,9,392.85,121.77,30.996563573883158,Low revenue,3 Low revenue / High margin,0
FUR-BAR-10000560,"Barricks Round Table, with Bottom Storage",Furniture,Tables,Barricks,1,0,1,2,1003.02,30.06,2.9969492133756055,High revenue,1 High revenue / High profit,0
FUR-BAR-10000831,"Barricks Training Table, Fully Assembled",Furniture,Tables,Barricks,1,0,1,1,319.77,121.5,37.99605966788629,Low revenue,3 Low revenue / High margin,0
FUR-BAR-10000946,"Barricks Computer Table, with Bottom Storage",Furniture,Tables,Barricks,1,0,2,7,3360.21,134.40000000000003,3.999750015624024,High revenue,1 High revenue / High profit,0
FUR-BAR-10001039,"Barricks Coffee Table, Fully Assembled",Furniture,Tables,Barricks,1,0,2,2,212.079,-303.021,-142.8811904997666,Low revenue,4 Low revenue / Low profit,0
FUR-BAR-10002449,"Barricks Training Table, Adjustable Height",Furniture,Tables,Barricks,1,0,3,23,7371.269999999999,2358.42,31.994758026771514,High revenue,1 High revenue / High profit,0
