cohort_month,period_index,retention_pct,active_customers,cohort_size,cohort_month_sort
2011-01,0,100.0,195,195,201101
2011-01,1,20.0,39,195,201101
2011-01,2,31.28,61,195,201101
2011-01,3,27.69,54,195,201101
2011-01,4,36.41,71,195,201101
2011-01,5,40.51,79,195,201101
2011-01,6,30.26,59,195,201101
2011-01,7,46.15,90,195,201101
2011-01,8,49.74,97,195,201101
2011-01,9,36.92,72,195,201101
2011-01,10,54.87,107,195,201101
2011-01,11,57.95,113,195,201101
2011-01,12,31.79,62,195,201101
2011-01,13,27.69,54,195,201101
2011-01,14,30.26,59,195,201101
2011-01,15,33.33,65,195,201101
2011-01,16,36.41,71,195,201101
2011-01,17,53.33,104,195,201101
2011-01,18,32.82,64,195,201101
2011-01,19,50.26,98,195,201101
2011-01,20,54.36,106,195,201101
2011-01,21,44.1,86,195,201101
2011-01,22,58.46,114,195,201101
2011-01,23,58.97,115,195,201101
2011-01,24,35.38,69,195,201101
2011-01,25,36.41,71,195,201101
2011-01,26,37.95,74,195,201101
2011-01,27,41.03,80,195,201101
2011-01,28,49.74,97,195,201101
2011-01,29,63.59,124,195,201101
2011-01,30,39.49,77,195,201101
2011-01,31,60.0,117,195,201101
2011-01,32,65.64,128,195,201101
2011-01,33,47.18,92,195,201101
2011-01,34,66.15,129,195,201101
2011-01,35,63.08,123,195,201101
2011-01,36,43.08,84,195,201101
2011-01,37,37.44,73,195,201101
2011-01,38,45.64,89,195,201101
2011-01,39,51.28,100,195,201101
2011-01,40,56.41,110,195,201101
2011-01,41,66.67,130,195,201101
2011-01,42,47.69,93,195,201101
2011-01,43,68.21,133,195,201101
2011-01,44,69.74,136,195,201101
2011-01,45,66.67,130,195,201101
2011-01,46,76.41,149,195,201101
2011-01,47,73.33,143,195,201101
2011-02,0,100.0,124,124,201102
2011-02,1,22.58,28,124,201102
2011-02,2,26.61,33,124,201102
2011-02,3,34.68,43,124,201102
2011-02,4,45.16,56,124,201102
2011-02,5,25.81,32,124,201102
2011-02,6,33.87,42,124,201102
2011-02,7,43.55,54,124,201102
2011-02,8,31.45,39,124,201102
2011-02,9,52.42,65,124,201102
2011-02,10,49.19,61,124,201102
2011-02,11,25.0,31,124,201102
2011-02,12,22.58,28,124,201102
2011-02,13,42.74,53,124,201102
2011-02,14,32.26,40,124,201102
2011-02,15,41.13,51,124,201102
2011-02,16,47.58,59,124,201102
