cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
2011-01,195,39,61,54,71,79,59,90,97,72,107,113,62,54,59,65,71,104,64,98,106,86,114,115,69,71,74,80,97,124,77,117,128,92,129,123,84,73,89,100,110,130,93,133,136,130,149,143
2011-02,124,28,33,43,56,32,42,54,39,65,61,31,28,53,40,51,59,41,52,74,47,75,57,41,37,52,45,62,70,49,75,72,63,80,80,40,48,67,56,70,87,61,78,87,79,86,89,0
2011-03,146,44,44,56,39,48,62,59,74,71,37,31,50,48,60,67,41,78,82,81,89,85,49,44,59,51,64,85,61,84,88,72,88,87,61,58,75,69,84,97,71,88,111,95,106,112,0,0
2011-04,97,28,44,30,39,48,42,41,53,27,23,45,31,38,64,33,47,51,46,54,51,32,34,36,34,49,59,47,43,58,56,66,58,46,49,50,47,53,71,39,58,77,60,69,74,0,0,0
2011-05,54,23,15,23,28,26,28,25,13,15,19,19,19,31,15,22,35,29,37,32,21,13,19,19,28,33,18,27,34,28,33,39,28,18,27,25,25,40,25,38,44,31,43,40,0,0,0,0
2011-06,83,16,38,42,34,47,44,20,29,37,26,29,46,30,36,46,33,55,42,33,25,31,33,35,48,42,51,51,36,53,57,42,37,36,46,52,56,36,55,57,57,60,60,0,0,0,0,0
2011-07,28,18,14,10,15,14,11,3,5,9,11,13,11,15,12,14,17,12,10,9,16,10,13,18,11,20,21,19,15,18,15,8,13,11,13,15,15,19,19,12,24,20,0,0,0,0,0,0
2011-08,27,13,11,12,17,11,7,5,10,9,10,8,11,15,21,17,15,6,8,15,14,9,17,13,16,21,14,22,19,10,12,11,10,14,18,14,18,17,20,21,22,0,0,0,0,0,0,0
2011-09,23,8,13,14,4,4,5,8,8,16,12,13,16,7,10,15,10,3,8,8,10,11,14,15,15,13,14,14,11,11,12,10,13,15,11,15,15,14,20,18,0,0,0,0,0,0,0,0
2011-10,13,8,6,6,5,7,5,6,6,3,6,6,6,8,7,3,5,3,5,6,8,6,8,12,5,8,9,5,3,5,6,6,9,8,8,9,8,10,9,0,0,0,0,0,0,0,0,0
2011-11,4,3,2,1,0,1,4,1,2,2,3,3,1,1,2,1,1,3,3,2,2,2,2,3,4,3,1,0,1,2,3,3,1,3,2,0,4,1,0,0,0,0,0,0,0,0,0,0
2011-12,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
