cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
2011-01,100.0,20.0,31.28,27.69,36.41,40.51,30.26,46.15,49.74,36.92,54.87,57.95,31.79,27.69,30.26,33.33,36.41,53.33,32.82,50.26,54.36,44.1,58.46,58.97,35.38,36.41,37.95,41.03,49.74,63.59,39.49,60.0,65.64,47.18,66.15,63.08,43.08,37.44,45.64,51.28,56.41,66.67,47.69,68.21,69.74,66.67,76.41,73.33
2011-02,100.0,22.58,26.61,34.68,45.16,25.81,33.87,43.55,31.45,52.42,49.19,25.0,22.58,42.74,32.26,41.13,47.58,33.06,41.94,59.68,37.9,60.48,45.97,33.06,29.84,41.94,36.29,50.0,56.45,39.52,60.48,58.06,50.81,64.52,64.52,32.26,38.71,54.03,45.16,56.45,70.16,49.19,62.9,70.16,63.71,69.35,71.77,0.0
2011-03,100.0,30.14,30.14,38.36,26.71,32.88,42.47,40.41,50.68,48.63,25.34,21.23,34.25,32.88,41.1,45.89,28.08,53.42,56.16,55.48,60.96,58.22,33.56,30.14,40.41,34.93,43.84,58.22,41.78,57.53,60.27,49.32,60.27,59.59,41.78,39.73,51.37,47.26,57.53,66.44,48.63,60.27,76.03,65.07,72.6,76.71,0.0,0.0
2011-04,100.0,28.87,45.36,30.93,40.21,49.48,43.3,42.27,54.64,27.84,23.71,46.39,31.96,39.18,65.98,34.02,48.45,52.58,47.42,55.67,52.58,32.99,35.05,37.11,35.05,50.52,60.82,48.45,44.33,59.79,57.73,68.04,59.79,47.42,50.52,51.55,48.45,54.64,73.2,40.21,59.79,79.38,61.86,71.13,76.29,0.0,0.0,0.0
2011-05,100.0,42.59,27.78,42.59,51.85,48.15,51.85,46.3,24.07,27.78,35.19,35.19,35.19,57.41,27.78,40.74,64.81,53.7,68.52,59.26,38.89,24.07,35.19,35.19,51.85,61.11,33.33,50.0,62.96,51.85,61.11,72.22,51.85,33.33,50.0,46.3,46.3,74.07,46.3,70.37,81.48,57.41,79.63,74.07,0.0,0.0,0.0,0.0
2011-06,100.0,19.28,45.78,50.6,40.96,56.63,53.01,24.1,34.94,44.58,31.33,34.94,55.42,36.14,43.37,55.42,39.76,66.27,50.6,39.76,30.12,37.35,39.76,42.17,57.83,50.6,61.45,61.45,43.37,63.86,68.67,50.6,44.58,43.37,55.42,62.65,67.47,43.37,66.27,68.67,68.67,72.29,72.29,0.0,0.0,0.0,0.0,0.0
2011-07,100.0,64.29,50.0,35.71,53.57,50.0,39.29,10.71,17.86,32.14,39.29,46.43,39.29,53.57,42.86,50.0,60.71,42.86,35.71,32.14,57.14,35.71,46.43,64.29,39.29,71.43,75.0,67.86,53.57,64.29,53.57,28.57,46.43,39.29,46.43,53.57,53.57,67.86,67.86,42.86,85.71,71.43,0.0,0.0,0.0,0.0,0.0,0.0
2011-08,100.0,48.15,40.74,44.44,62.96,40.74,25.93,18.52,37.04,33.33,37.04,29.63,40.74,55.56,77.78,62.96,55.56,22.22,29.63,55.56,51.85,33.33,62.96,48.15,59.26,77.78,51.85,81.48,70.37,37.04,44.44,40.74,37.04,51.85,66.67,51.85,66.67,62.96,74.07,77.78,81.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09,100.0,34.78,56.52,60.87,17.39,17.39,21.74,34.78,34.78,69.57,52.17,56.52,69.57,30.43,43.48,65.22,43.48,13.04,34.78,34.78,43.48,47.83,60.87,65.22,65.22,56.52,60.87,60.87,47.83,47.83,52.17,43.48,56.52,65.22,47.83,65.22,65.22,60.87,86.96,78.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10,100.0,61.54,46.15,46.15,38.46,53.85,38.46,46.15,46.15,23.08,46.15,46.15,46.15,61.54,53.85,23.08,38.46,23.08,38.46,46.15,61.54,46.15,61.54,92.31,38.46,61.54,69.23,38.46,23.08,38.46,46.15,46.15,69.23,61.54,61.54,69.23,61.54,76.92,69.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11,100.0,75.0,50.0,25.0,0.0,25.0,100.0,25.0,50.0,50.0,75.0,75.0,25.0,25.0,50.0,25.0,25.0,75.0,75.0,50.0,50.0,50.0,50.0,75.0,100.0,75.0,25.0,0.0,25.0,50.0,75.0,75.0,25.0,75.0,50.0,0.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
