order_ym,revenue,cost,profit,discount_amount,shipping_cost,quantity,lines,orders,customers,returned_orders,measured_orders,profit_margin_pct,avg_order_value,return_rate_pct,revenue_mom_pct,revenue_yoy_pct,profit_mom_pct,profit_yoy_pct
2011-01,98898.48886,90576.6879,8321.80096,18827.471139999998,10544.788,1463,433,216,195,5,163,8.414487476932315,457.86337435185186,3.067484662576687,,,,
2011-02,91152.15698,78734.25,12417.90698,16232.373019999999,10681.163,1224,378,183,163,10,145,13.623272768766903,498.09921846994536,6.896551724137931,-7.832608940027031,,49.221388972033274,
2011-03,145729.36736,130425.7991,15303.568259999996,43692.15264,13096.1855,1836,539,277,235,6,227,10.501361899276688,526.0987991335741,2.643171806167401,59.874842448297706,,23.23790381621942,
2011-04,116915.76418,104013.43980000001,12902.32438,22539.395819999998,12954.52,2020,564,267,228,14,212,11.035572893434601,437.88675722846443,6.60377358490566,-19.771994967095974,,-15.690745055035926,
2011-05,146747.8361,134564.0074,12183.8287,29470.7339,16443.206,2013,566,296,240,15,244,8.302561062431913,495.769716554054,6.147540983606557,25.515867880803,,-5.568730554579348,
2011-06,215207.38022,191792.1332,23415.24702,49394.33978,23813.109,3112,917,469,341,28,372,10.880317857158662,458.8643501492537,7.526881720430108,46.651143852880296,,92.18299597399952,
2011-07,115510.41912,109925.41560000001,5585.0035199999975,30915.120880000002,11844.476,1774,495,250,219,19,210,4.8350647175800825,462.04167648000004,9.047619047619047,-46.325995418039476,,-76.14800512149371,
2011-08,207581.49122,183867.8235,23713.66772,39090.81878,22001.136,3035,878,446,325,16,335,11.423787150111409,465.42935251121077,4.776119402985075,79.70802357175275,,324.59539434632285,
2011-09,290214.45534,254437.57140000002,35776.88393999999,56171.90466,29664.851,3707,1052,528,381,18,437,12.327740152738318,549.6485896590909,4.118993135011442,39.80748169518811,,50.870309740512766,
2011-10,199071.26404,173107.8457,25963.41834,32449.905959999996,21380.082,2727,774,401,314,26,349,13.04227331112093,496.4370674314215,7.4498567335243555,-31.405462278996886,,-27.42962639356119,
2011-11,298496.53752,265787.3598,32709.17772,58092.82248,34701.998,4039,1139,563,414,25,466,10.957975590523693,530.1892318294849,5.36480686695279,49.94456329971471,,25.98178441552623,
2011-12,333925.7346,293277.7506,40647.984,65464.935399999995,37144.831,4493,1263,620,422,29,518,12.172761721611854,538.5898945161291,5.598455598455598,11.869215426871138,,24.270883077399464,
2012-01,135780.72024,125379.08260000001,10401.637639999999,28931.36976,13665.749,1845,539,260,225,12,195,7.660614571505089,522.2335393846154,6.153846153846154,-59.338048502716404,37.29301812913464,-74.41044643198049,24.992627076723515
2012-02,100510.21698,85510.1208,15000.09618,12120.65302,11393.726,1473,429,230,201,10,174,14.92395164462215,437.00094339130436,5.747126436781609,-25.976076130438408,10.266416407516598,44.20898611499797,20.79407748953843
2012-03,163076.77116,145083.8536,17992.917559999998,33270.69884,16170.785,2237,662,338,285,15,277,11.033403121739854,482.47565431952665,5.415162454873646,62.2489494699328,11.9038489731079,19.952014601015698,17.573347955910013
2012-04,161052.26952,143685.3023,17366.96722,30427.17048,16767.862,2250,657,323,262,20,280,10.783435260962474,498.61383752321984,7.142857142857142,-1.2414408413897848,37.75068798425571,-3.4788707162842103,34.603399422515515
2012-05,208364.89124,178488.1875,29876.70374,34071.18876,23801.617,2921,840,413,306,24,348,14.338645806498779,504.51547515738497,6.896551724137931,29.377184103651864,41.98839095522446,72.0317851788978,145.2160521593676
2012-06,256175.69842,221768.5448,34407.15362,47701.35158,28155.9,3671,1136,574,418,19,450,13.431076340266076,446.2991261672474,4.222222222222222,22.94571167698798,19.036669726716315,15.16382101394429,46.94337237019675
2012-07,145236.78512000002,129651.39670000001,15585.388419999997,25814.54488,17334.435,2321,659,325,261,10,267,10.73101997343357,446.8824157538462,3.7453183520599254,-43.305791292550964,25.73479191441446,-54.70305799739095,179.0578083646401
2012-08,303142.94238,259569.0638,43573.87858,42805.77762,32038.73,3818,1083,524,381,23,399,14.374036960220124,578.517065610687,5.764411027568922,108.72325294830239,46.03563188527326,179.58160172693343,83.7500596470363
2012-09,289389.16564,261612.9853,27776.18034,55549.99436,28023.178,4205,1223,643,447,29,520,9.598210174375897,450.0609107931571,5.5769230769230775,-4.5370598543439495,-0.2843723614776916,-36.25497374762272,-22.362773721204054
2012-10,252939.85020000002,222276.9675,30662.8827,41306.6298,25085.74,3563,990,499,374,27,444,12.122598584507264,506.89348737474955,6.081081081081082,-12.595259176130646,27.05995082704453,10.392726158401654,18.100329850479913
2012-11,323512.4169,291691.6951,31820.7218,64509.1231,33489.741,5193,1460,716,478,35,582,9.836012510714855,451.8329844972067,6.013745704467354,27.900928479319553,8.380626317423822,3.7760282075500973,-2.7162282329609155
2012-12,338256.9666,305306.2153,32950.751299999996,69777.41339999999,37563.361,4614,1284,635,432,39,543,9.741337076130453,532.6881363779528,7.18232044198895,4.55764568213084,1.2970644521268282,3.5512377975033704,-18.936320925534712
2013-01,199185.90738,172375.3477,26810.55968,30677.292619999997,21677.432,2413,709,345,276,17,257,13.460068552365875,577.350456173913,6.614785992217899,-41.11402659873554,46.69675269650049,-18.634451045126845,157.753255861353
2013-02,167239.6504,143477.1543,23762.4961,24466.1596,16911.85,2102,605,307,250,14,235,14.208649709064447,544.754561563518,5.957446808510639,-16.03841225526764,66.39069681172627,-11.368892020086307,58.41562490567978
2013-03,198594.03012,175160.2555,23433.77462,37208.89988,21268.01,2686,766,411,315,17,329,11.799838396874364,483.19715357664234,5.167173252279635,18.748173441529747,21.779471538072602,-1.3833625836975894,30.2388817258606
2013-04,177821.31683999998,158359.2784,19462.03844,37653.25316,19133.234,2688,785,394,303,20,315,10.94471618243135,451.3231391878172,6.349206349206349,-10.459888077928703,10.412176972096354,-16.948768367048494,12.06354105158496
2013-05,260498.5647,232002.8706,28495.694099999997,50742.5153,28315.211,3808,1057,524,377,24,446,10.938906374711399,497.13466545801526,5.381165919282512,46.49456506634202,25.020373225905466,46.416801034742974,-4.622362801526392
2013-06,396519.6119,351041.1985,45478.4134,72232.1281,42814.026,5327,1530,726,475,28,567,11.469398242896848,546.1702643250688,4.938271604938271,52.215660902641446,54.78424157544648,59.597493012110924,32.177203328916335
2013-07,229928.952,201065.1248,28863.8272,41849.157999999996,24501.84236,3252,925,448,340,17,361,12.553367876873548,513.2342678571429,4.7091412742382275,-42.01322075893014,58.31316550419658,-36.53290640082004,85.19799713788592
2013-08,326488.78936,295465.1209,31023.66846,62505.64064,35673.088,4934,1442,695,458,37,530,9.502215534203847,469.7680422446043,6.981132075471698,41.99551057841555,7.7012668666173845,7.482865127463079,-28.80214139523587
